"Datum (MT+1)","Import Saldo","Kernenergie","Nicht Erneuerbar","Erneuerbar","Day Ahead Auktion (DE-LU)"
2019-01-01T00:00:00.000Z,,8892.407,25424.272,31947.038,10.07
2019-01-01T00:15:00.000Z,,8681.53,24780.327,32453.56,10.07
2019-01-01T00:30:00.000Z,,8443.552,24263.619,33072.85,10.07
2019-01-01T00:45:00.000Z,,8101.865,23910.911,33369.737,10.07
2019-01-01T01:00:00.000Z,,8041.866,23552.715,33044.778,-4.08
2019-01-01T01:15:00.000Z,,8045.234,23214.687,33115.946,-4.08
2019-01-01T01:30:00.000Z,,7945.172,22968.751,32768.232,-4.08
2019-01-01T01:45:00.000Z,,7762.106,22726.22,33246.772,-4.08
2019-01-01T02:00:00.000Z,,7563.462,22611.42,34081.177,-9.91
2019-01-01T02:15:00.000Z,,7238.952,22428.4,34326.15,-9.91
2019-01-01T02:30:00.000Z,,7058.835,22248.639,34701.445,-9.91
2019-01-01T02:45:00.000Z,,7005.351,22131.855,34936.057,-9.91
2019-01-01T03:00:00.000Z,,7080.6,22118.291,35814.383,-7.41
2019-01-01T03:15:00.000Z,,7149.084,22230.968,36153.027,-7.41
2019-01-01T03:30:00.000Z,,7108.581,22242.866,36394.11,-7.41
2019-01-01T03:45:00.000Z,,7123.371,22238.774,36631.17,-7.41
2019-01-01T04:00:00.000Z,,7118.664,22148.828,37227.664,-12.55
2019-01-01T04:15:00.000Z,,7079.341,22038.086,37397.153,-12.55
2019-01-01T04:30:00.000Z,,7034.092,22035.349,37633.886,-12.55
2019-01-01T04:45:00.000Z,,6990.951,21964.553,37564.439,-12.55
2019-01-01T05:00:00.000Z,,7028.755,21849.303,38270.627,-17.25
2019-01-01T05:15:00.000Z,,7022.87,21777.999,38579.183,-17.25
2019-01-01T05:30:00.000Z,,7025.498,21811.578,39003.841,-17.25
2019-01-01T05:45:00.000Z,,7044.095,21798.031,39244.16,-17.25
2019-01-01T06:00:00.000Z,,7116.386,21998.892,39255.036,-15.07
2019-01-01T06:15:00.000Z,,7154.92,21986.469,39611.241,-15.07
2019-01-01T06:30:00.000Z,,7181.541,22035.839,39797.477,-15.07
2019-01-01T06:45:00.000Z,,7219.696,22152.651,39812.506,-15.07
2019-01-01T07:00:00.000Z,,7155.919,22080.622,40237.331,-4.93
2019-01-01T07:15:00.000Z,,7178.763,22107.27,40380.06,-4.93
2019-01-01T07:30:00.000Z,,7165.442,22053.783,40583.571,-4.93
2019-01-01T07:45:00.000Z,,7101.706,22039.769,40848.279,-4.93
2019-01-01T08:00:00.000Z,,6966.308,22094.862,40787.134,-6.33
2019-01-01T08:15:00.000Z,,6973.173,22414.005,40813.536,-6.33
2019-01-01T08:30:00.000Z,,7044.735,22577.324,40700.181,-6.33
