datetime,wind_speed,solar_radiation,tempreture,date,day_of_week,time,month
2019-01-01 00:00:00,4.5,0,6.0,2019-01-01,Tuesday,00:00:00,1
2019-01-01 01:00:00,4.8,0,5.9,2019-01-01,Tuesday,01:00:00,1
2019-01-01 02:00:00,5.0,0,5.9,2019-01-01,Tuesday,02:00:00,1
2019-01-01 03:00:00,5.5,0,5.8,2019-01-01,Tuesday,03:00:00,1
2019-01-01 04:00:00,5.9,0,5.8,2019-01-01,Tuesday,04:00:00,1
2019-01-01 05:00:00,6.1,0,5.7,2019-01-01,Tuesday,05:00:00,1
2019-01-01 06:00:00,6.3,0,5.6,2019-01-01,Tuesday,06:00:00,1
2019-01-01 07:00:00,6.4,0,5.5,2019-01-01,Tuesday,07:00:00,1
2019-01-01 08:00:00,6.5,12,5.5,2019-01-01,Tuesday,08:00:00,1
2019-01-01 09:00:00,6.7,39,5.5,2019-01-01,Tuesday,09:00:00,1
2019-01-01 10:00:00,7.0,67,5.7,2019-01-01,Tuesday,10:00:00,1
2019-01-01 11:00:00,7.3,88,5.8,2019-01-01,Tuesday,11:00:00,1
2019-01-01 12:00:00,7.5,87,5.8,2019-01-01,Tuesday,12:00:00,1
2019-01-01 13:00:00,7.8,70,5.7,2019-01-01,Tuesday,13:00:00,1
2019-01-01 14:00:00,8.0,46,5.6,2019-01-01,Tuesday,14:00:00,1
2019-01-01 15:00:00,8.1,15,5.2,2019-01-01,Tuesday,15:00:00,1
2019-01-01 16:00:00,8.3,0,4.9,2019-01-01,Tuesday,16:00:00,1
2019-01-01 17:00:00,8.4,0,4.6,2019-01-01,Tuesday,17:00:00,1
2019-01-01 18:00:00,8.6,0,4.4,2019-01-01,Tuesday,18:00:00,1
2019-01-01 19:00:00,8.6,0,4.0,2019-01-01,Tuesday,19:00:00,1
2019-01-01 20:00:00,8.6,0,3.8,2019-01-01,Tuesday,20:00:00,1
2019-01-01 21:00:00,8.5,0,3.5,2019-01-01,Tuesday,21:00:00,1
2019-01-01 22:00:00,8.3,0,3.3,2019-01-01,Tuesday,22:00:00,1
2019-01-01 23:00:00,8.2,0,3.0,2019-01-01,Tuesday,23:00:00,1
2019-01-02 00:00:00,8.0,0,2.7,2019-01-02,Wednesday,00:00:00,1
2019-01-02 01:00:00,7.8,0,2.6,2019-01-02,Wednesday,01:00:00,1
2019-01-02 02:00:00,7.5,0,2.5,2019-01-02,Wednesday,02:00:00,1
2019-01-02 03:00:00,7.4,0,2.3,2019-01-02,Wednesday,03:00:00,1
2019-01-02 04:00:00,7.4,0,2.1,2019-01-02,Wednesday,04:00:00,1
2019-01-02 05:00:00,7.3,0,2.0,2019-01-02,Wednesday,05:00:00,1
2019-01-02 06:00:00,7.0,0,1.9,2019-01-02,Wednesday,06:00:00,1
2019-01-02 07:00:00,6.9,0,1.8,2019-01-02,Wednesday,07:00:00,1
2019-01-02 08:00:00,6.7,17,1.7,2019-01-02,Wednesday,08:00:00,1
2019-01-02 09:00:00,6.8,71,1.8,2019-01-02,Wednesday,09:00:00,1
2019-01-02 10:00:00,6.8,128,2.1,2019-01-02,Wednesday,10:00:00,1
2019-01-02 11:00:00,7.0,143,2.3,2019-01-02,Wednesday,11:00:00,1
2019-01-02 12:00:00,7.2,147,2.5,2019-01-02,Wednesday,12:00:00,1
2019-01-02 13:00:00,7.1,127,2.4,2019-01-02,Wednesday,13:00:00,1
2019-01-02 14:00:00,6.8,85,2.2,2019-01-02,Wednesday,14:00:00,1
2019-01-02 15:00:00,6.4,22,1.7,2019-01-02,Wednesday,15:00:00,1
2019-01-02 16:00:00,5.7,0,1.1,2019-01-02,Wednesday,16:00:00,1
2019-01-02 17:00:00,5.1,0,0.6,2019-01-02,Wednesday,17:00:00,1
2019-01-02 18:00:00,4.7,0,0.2,2019-01-02,Wednesday,18:00:00,1
2019-01-02 19:00:00,4.4,0,-0.2,2019-01-02,Wednesday,19:00:00,1
2019-01-02 20:00:00,4.2,0,-0.6,2019-01-02,Wednesday,20:00:00,1
2019-01-02 21:00:00,3.9,0,-0.9,2019-01-02,Wednesday,21:00:00,1
2019-01-02 22:00:00,3.7,0,-1.2,2019-01-02,Wednesday,22:00:00,1
2019-01-02 23:00:00,3.5,0,-1.6,2019-01-02,Wednesday,23:00:00,1
2019-01-03 00:00:00,3.4,0,-1.8,2019-01-03,Thursday,00:00:00,1
2019-01-03 01:00:00,3.3,0,-2.0,2019-01-03,Thursday,01:00:00,1
2019-01-03 02:00:00,3.3,0,-2.2,2019-01-03,Thursday,02:00:00,1
2019-01-03 03:00:00,3.3,0,-2.3,2019-01-03,Thursday,03:00:00,1
2019-01-03 04:00:00,3.3,0,-2.5,2019-01-03,Thursday,04:00:00,1
2019-01-03 05:00:00,3.3,0,-2.5,2019-01-03,Thursday,05:00:00,1
2019-01-03 06:00:00,3.3,0,-2.5,2019-01-03,Thursday,06:00:00,1
2019-01-03 07:00:00,3.3,0,-2.5,2019-01-03,Thursday,07:00:00,1
2019-01-03 08:00:00,3.3,21,-2.3,2019-01-03,Thursday,08:00:00,1
2019-01-03 09:00:00,3.4,67,-1.6,2019-01-03,Thursday,09:00:00,1
2019-01-03 10:00:00,3.5,117,-0.6,2019-01-03,Thursday,10:00:00,1
2019-01-03 11:00:00,3.7,143,0.1,2019-01-03,Thursday,11:00:00,1
2019-01-03 12:00:00,3.9,150,0.6,2019-01-03,Thursday,12:00:00,1
2019-01-03 13:00:00,3.9,113,0.8,2019-01-03,Thursday,13:00:00,1
2019-01-03 14:00:00,3.8,67,0.8,2019-01-03,Thursday,14:00:00,1
2019-01-03 15:00:00,3.6,20,0.4,2019-01-03,Thursday,15:00:00,1
2019-01-03 16:00:00,3.4,0,0.0,2019-01-03,Thursday,16:00:00,1
2019-01-03 17:00:00,3.3,0,-0.2,2019-01-03,Thursday,17:00:00,1
2019-01-03 18:00:00,3.3,0,-0.5,2019-01-03,Thursday,18:00:00,1
2019-01-03 19:00:00,3.2,0,-0.6,2019-01-03,Thursday,19:00:00,1
2019-01-03 20:00:00,3.1,0,-0.7,2019-01-03,Thursday,20:00:00,1
2019-01-03 21:00:00,3.0,0,-0.9,2019-01-03,Thursday,21:00:00,1
2019-01-03 22:00:00,2.9,0,-0.9,2019-01-03,Thursday,22:00:00,1
2019-01-03 23:00:00,3.0,0,-0.9,2019-01-03,Thursday,23:00:00,1
2019-01-04 00:00:00,2.9,0,-1.0,2019-01-04,Friday,00:00:00,1
2019-01-04 01:00:00,2.9,0,-1.0,2019-01-04,Friday,01:00:00,1
2019-01-04 02:00:00,2.9,0,-1.0,2019-01-04,Friday,02:00:00,1
2019-01-04 03:00:00,3.0,0,-1.0,2019-01-04,Friday,03:00:00,1
2019-01-04 04:00:00,3.2,0,-0.8,2019-01-04,Friday,04:00:00,1
2019-01-04 05:00:00,3.4,0,-0.7,2019-01-04,Friday,05:00:00,1
2019-01-04 06:00:00,3.6,0,-0.5,2019-01-04,Friday,06:00:00,1
2019-01-04 07:00:00,3.9,0,-0.4,2019-01-04,Friday,07:00:00,1
2019-01-04 08:00:00,4.1,16,-0.2,2019-01-04,Friday,08:00:00,1
2019-01-04 09:00:00,4.3,43,0.2,2019-01-04,Friday,09:00:00,1
2019-01-04 10:00:00,4.5,74,0.7,2019-01-04,Friday,10:00:00,1
2019-01-04 11:00:00,4.9,98,1.2,2019-01-04,Friday,11:00:00,1
2019-01-04 12:00:00,5.1,93,1.5,2019-01-04,Friday,12:00:00,1
2019-01-04 13:00:00,5.2,67,1.7,2019-01-04,Friday,13:00:00,1
