datetime,wind_speed,solar_radiation,temperature,date,day_of_week,time,month
2020-01-01 00:00:00,2.4,0,-0.1,2020-01-01,Wednesday,00:00:00,1
2020-01-01 01:00:00,2.4,0,-0.5,2020-01-01,Wednesday,01:00:00,1
2020-01-01 02:00:00,2.5,0,-0.7,2020-01-01,Wednesday,02:00:00,1
2020-01-01 03:00:00,2.4,0,-1.0,2020-01-01,Wednesday,03:00:00,1
2020-01-01 04:00:00,2.4,0,-1.2,2020-01-01,Wednesday,04:00:00,1
2020-01-01 05:00:00,2.5,0,-1.4,2020-01-01,Wednesday,05:00:00,1
2020-01-01 06:00:00,2.5,0,-1.6,2020-01-01,Wednesday,06:00:00,1
2020-01-01 07:00:00,2.5,8,-1.7,2020-01-01,Wednesday,07:00:00,1
2020-01-01 08:00:00,2.6,72,-1.6,2020-01-01,Wednesday,08:00:00,1
2020-01-01 09:00:00,2.6,137,-0.7,2020-01-01,Wednesday,09:00:00,1
2020-01-01 10:00:00,2.6,180,0.4,2020-01-01,Wednesday,10:00:00,1
2020-01-01 11:00:00,2.8,198,1.4,2020-01-01,Wednesday,11:00:00,1
2020-01-01 12:00:00,3.0,177,2.3,2020-01-01,Wednesday,12:00:00,1
2020-01-01 13:00:00,3.0,120,2.8,2020-01-01,Wednesday,13:00:00,1
2020-01-01 14:00:00,2.9,47,2.7,2020-01-01,Wednesday,14:00:00,1
2020-01-01 15:00:00,2.7,4,1.7,2020-01-01,Wednesday,15:00:00,1
2020-01-01 16:00:00,2.5,0,0.4,2020-01-01,Wednesday,16:00:00,1
2020-01-01 17:00:00,2.6,0,-0.3,2020-01-01,Wednesday,17:00:00,1
2020-01-01 18:00:00,2.6,0,-0.8,2020-01-01,Wednesday,18:00:00,1
2020-01-01 19:00:00,2.8,0,-1.1,2020-01-01,Wednesday,19:00:00,1
2020-01-01 20:00:00,2.7,0,-1.4,2020-01-01,Wednesday,20:00:00,1
2020-01-01 21:00:00,2.7,0,-1.7,2020-01-01,Wednesday,21:00:00,1
2020-01-01 22:00:00,2.6,0,-1.9,2020-01-01,Wednesday,22:00:00,1
2020-01-01 23:00:00,2.6,0,-2.1,2020-01-01,Wednesday,23:00:00,1
2020-01-02 00:00:00,2.6,0,-2.2,2020-01-02,Thursday,00:00:00,1
2020-01-02 01:00:00,2.6,0,-2.4,2020-01-02,Thursday,01:00:00,1
2020-01-02 02:00:00,2.6,0,-2.6,2020-01-02,Thursday,02:00:00,1
2020-01-02 03:00:00,2.8,0,-2.7,2020-01-02,Thursday,03:00:00,1
2020-01-02 04:00:00,2.8,0,-2.7,2020-01-02,Thursday,04:00:00,1
2020-01-02 05:00:00,2.8,0,-2.8,2020-01-02,Thursday,05:00:00,1
2020-01-02 06:00:00,2.9,0,-2.8,2020-01-02,Thursday,06:00:00,1
2020-01-02 07:00:00,2.9,0,-2.7,2020-01-02,Thursday,07:00:00,1
2020-01-02 08:00:00,2.9,25,-2.5,2020-01-02,Thursday,08:00:00,1
2020-01-02 09:00:00,3.0,84,-1.4,2020-01-02,Thursday,09:00:00,1
2020-01-02 10:00:00,3.1,141,-0.1,2020-01-02,Thursday,10:00:00,1
2020-01-02 11:00:00,3.3,179,0.9,2020-01-02,Thursday,11:00:00,1
2020-01-02 12:00:00,3.4,186,1.6,2020-01-02,Thursday,12:00:00,1
2020-01-02 13:00:00,3.5,150,2.0,2020-01-02,Thursday,13:00:00,1
2020-01-02 14:00:00,3.5,93,1.9,2020-01-02,Thursday,14:00:00,1
2020-01-02 15:00:00,3.5,25,1.3,2020-01-02,Thursday,15:00:00,1
2020-01-02 16:00:00,3.5,0,0.6,2020-01-02,Thursday,16:00:00,1
2020-01-02 17:00:00,3.6,0,0.4,2020-01-02,Thursday,17:00:00,1
2020-01-02 18:00:00,3.8,0,0.4,2020-01-02,Thursday,18:00:00,1
2020-01-02 19:00:00,3.8,0,0.5,2020-01-02,Thursday,19:00:00,1
2020-01-02 20:00:00,3.9,0,0.6,2020-01-02,Thursday,20:00:00,1
2020-01-02 21:00:00,4.1,0,0.7,2020-01-02,Thursday,21:00:00,1
2020-01-02 22:00:00,4.2,0,0.9,2020-01-02,Thursday,22:00:00,1
2020-01-02 23:00:00,4.3,0,1.1,2020-01-02,Thursday,23:00:00,1
2020-01-03 00:00:00,4.4,0,1.3,2020-01-03,Friday,00:00:00,1
2020-01-03 01:00:00,4.5,0,1.4,2020-01-03,Friday,01:00:00,1
2020-01-03 02:00:00,4.6,0,1.7,2020-01-03,Friday,02:00:00,1
2020-01-03 03:00:00,4.7,0,1.9,2020-01-03,Friday,03:00:00,1
