datetime,nuclear_power,not_renewable,renewable,energy_price,date,hour,dayofweek,month
2021-01-01 00:00:00,8151.12,35141.305,11491.71,48.19,2021-01-01,0,4,1
2021-01-01 00:15:00,8147.209,34875.902,11331.25,48.19,2021-01-01,0,4,1
2021-01-01 00:30:00,8154.02,34825.553,11179.375,48.19,2021-01-01,0,4,1
2021-01-01 00:45:00,8152.82,34889.11,11072.377,48.19,2021-01-01,0,4,1
2021-01-01 01:00:00,8156.53,34922.123,10955.356,44.68,2021-01-01,1,4,1
2021-01-01 01:15:00,8161.601,34856.2,10867.771,44.68,2021-01-01,1,4,1
2021-01-01 01:30:00,8158.36,35073.1,10789.049,44.68,2021-01-01,1,4,1
2021-01-01 01:45:00,8151.3,34972.501,10657.209,44.68,2021-01-01,1,4,1
2021-01-01 02:00:00,8145.589,34911.037,10637.605,42.92,2021-01-01,2,4,1
2021-01-01 02:15:00,8158.75,34995.109,10427.641,42.92,2021-01-01,2,4,1
2021-01-01 02:30:00,8155.86,35133.893,10316.18,42.92,2021-01-01,2,4,1
2021-01-01 02:45:00,8157.31,35079.982,10250.033,42.92,2021-01-01,2,4,1
2021-01-01 03:00:00,8154.58,34822.189,10176.413,40.39,2021-01-01,3,4,1
2021-01-01 03:15:00,8154.55,34719.067,10085.25,40.39,2021-01-01,3,4,1
2021-01-01 03:30:00,8145.899,34768.213,10035.246,40.39,2021-01-01,3,4,1
2021-01-01 03:45:00,8150.09,34694.608,9979.951,40.39,2021-01-01,3,4,1
2021-01-01 04:00:00,8156.86,34954.004,9960.008,40.2,2021-01-01,4,4,1
2021-01-01 04:15:00,8146.079,35093.145,9903.053,40.2,2021-01-01,4,4,1
2021-01-01 04:30:00,8145.529,35311.991,9882.951,40.2,2021-01-01,4,4,1
2021-01-01 04:45:00,8155.85,35534.089,9790.813,40.2,2021-01-01,4,4,1
2021-01-01 05:00:00,8155.0,35917.855,9916.299,39.63,2021-01-01,5,4,1
2021-01-01 05:15:00,8154.9,35899.7,9937.019,39.63,2021-01-01,5,4,1
2021-01-01 05:30:00,8156.65,35791.259,9922.829,39.63,2021-01-01,5,4,1
