datetime,wind_speed,solar_radiation,month_year,nuclear_power,not_renewable,renewable,energy_price
2021-01-01 00:00:00,2.4,0,2021-01,8151.29225,34932.9675,11268.678,48.19
2021-01-01 01:00:00,2.3,0,2021-01,8156.947749999999,34955.981,10817.34625,44.68
2021-01-01 02:00:00,2.1,0,2021-01,8154.37725,35030.00525,10407.86475,42.92
2021-01-01 03:00:00,2.1,0,2021-01,8151.27975,34751.01925,10069.215,40.39
2021-01-01 04:00:00,2.0,0,2021-01,8151.0795,35223.30725,9884.20625,40.2
2021-01-01 05:00:00,2.0,0,2021-01,8155.3225,35769.008,9898.134,39.63
2021-01-01 06:00:00,1.9,0,2021-01,8153.495,35404.32175,9811.381,40.09
2021-01-01 07:00:00,1.9,0,2021-01,8158.04025,36160.7465,10165.2325,41.27
2021-01-01 08:00:00,1.9,14,2021-01,8160.67275,36693.72175,11345.0285,44.88
2021-01-01 09:00:00,1.9,51,2021-01,8161.848,36864.435750000004,13099.69875,45.0
2021-01-01 10:00:00,2.0,97,2021-01,8161.0805,37521.3,14248.35375,47.2
2021-01-01 11:00:00,2.1,114,2021-01,8153.8375,37763.4415,14640.8385,50.78
2021-01-01 12:00:00,2.1,109,2021-01,8153.9425,37684.43725,13968.1155,45.49
2021-01-01 13:00:00,2.2,96,2021-01,8155.5175,37889.96875,12395.525249999999,44.73
2021-01-01 14:00:00,2.1,50,2021-01,8157.655,38834.906,10694.46475,46.59
2021-01-01 15:00:00,2.0,16,2021-01,8156.84,39798.08775,10589.9755,52.99
2021-01-01 16:00:00,2.0,0,2021-01,8151.7325,40372.71975,11336.859,60.26
2021-01-01 17:00:00,1.9,0,2021-01,8151.5375,40442.391,11919.19875,60.61
2021-01-01 18:00:00,2.0,0,2021-01,8155.83,40505.497749999995,12323.875250000001,60.36
2021-01-01 19:00:00,2.0,0,2021-01,8152.98,40217.01,12517.90225,57.4
2021-01-01 20:00:00,1.9,0,2021-01,8149.7294999999995,39775.548500000004,12641.384750000001,53.86
2021-01-01 21:00:00,2.0,0,2021-01,8141.621,38986.57625,13049.248,53.45
2021-01-01 22:00:00,2.1,0,2021-01,8142.4037499999995,37225.329249999995,12655.58525,49.72
2021-01-01 23:00:00,2.1,0,2021-01,8093.85225,35547.620500000005,12299.53875,46.69
2021-01-02 00:00:00,2.1,0,2021-01,8121.0945,34753.852249999996,12056.57125,42.43
2021-01-02 01:00:00,2.2,0,2021-01,8101.245,33994.64675,11998.24725,41.09
2021-01-02 02:00:00,2.1,0,2021-01,8095.072,33790.963,11834.5205,40.0
2021-01-02 03:00:00,2.2,0,2021-01,8132.29025,34396.798500000004,11628.906500000001,37.55
2021-01-02 04:00:00,2.1,0,2021-01,8141.024,35129.40775,11275.33275,39.0
2021-01-02 05:00:00,2.1,0,2021-01,8130.763,36001.99925,11196.6905,42.09
2021-01-02 06:00:00,2.1,0,2021-01,8125.705,37416.77525,11044.235,44.96
2021-01-02 07:00:00,2.1,0,2021-01,8054.21825,39651.24925,10837.902750000001,48.45
2021-01-02 08:00:00,2.1,13,2021-01,8142.98875,41724.432499999995,11285.99675,52.0
2021-01-02 09:00:00,2.2,50,2021-01,8152.6275,42628.17875,11982.50375,52.0
2021-01-02 10:00:00,2.2,84,2021-01,8153.9775,42936.87775,12727.5235,52.15
2021-01-02 11:00:00,2.3,106,2021-01,8156.145,42788.60025,12825.39625,55.95
2021-01-02 12:00:00,2.4,104,2021-01,8156.4375,42816.3685,11944.62575,52.0
2021-01-02 13:00:00,2.4,72,2021-01,8155.2375,42706.5565,10741.19125,50.69
2021-01-02 14:00:00,2.4,41,2021-01,8154.4575,42599.504,9854.561249999999,53.45
2021-01-02 15:00:00,2.4,12,2021-01,8153.1475,42969.238249999995,9807.26275,59.99
2021-01-02 16:00:00,2.4,0,2021-01,8155.89,43289.462,10488.666000000001,62.0
2021-01-02 17:00:00,2.5,0,2021-01,8150.937,43352.07525,11470.466,63.08
2021-01-02 18:00:00,2.6,0,2021-01,8147.0465,43360.25025,12183.7625,62.17
2021-01-02 19:00:00,2.7,0,2021-01,8146.3315,43048.9155,12595.009250000001,60.03
2021-01-02 20:00:00,2.8,0,2021-01,8141.2785,42498.6995,13158.256000000001,55.03
2021-01-02 21:00:00,2.8,0,2021-01,8138.656,41021.34575,14052.13725,52.25
2021-01-02 22:00:00,2.9,0,2021-01,8117.5064999999995,38158.3985,15366.635,48.45
2021-01-02 23:00:00,3.0,0,2021-01,7994.31075,34732.58225,16565.91425,46.11
2021-01-03 00:00:00,3.0,0,2021-01,7738.1655,32395.23425,17415.8405,43.0
2021-01-03 01:00:00,3.1,0,2021-01,7542.3875,30890.023,18730.609,39.55
2021-01-03 02:00:00,3.2,0,2021-01,7613.3765,30031.747,19779.555,35.18
2021-01-03 03:00:00,3.3,0,2021-01,7620.342000000001,28980.4615,20860.677,33.45
2021-01-03 04:00:00,3.3,0,2021-01,7597.9625,28553.15025,22841.66775,32.37
2021-01-03 05:00:00,3.4,0,2021-01,7590.91475,28605.02075,24416.886749999998,31.7
2021-01-03 06:00:00,3.4,0,2021-01,7630.958,29420.60475,25585.48275,32.63
2021-01-03 07:00:00,3.5,0,2021-01,7551.696,30942.93325,26267.47175,36.9
2021-01-03 08:00:00,3.5,9,2021-01,7551.606,32151.84275,27262.16025,36.96
2021-01-03 09:00:00,3.6,33,2021-01,7569.1175,32961.82225,28644.21775,36.96
2021-01-03 10:00:00,3.7,63,2021-01,7565.727,33860.77975,29646.675750000002,43.72
2021-01-03 11:00:00,3.9,79,2021-01,7564.1745,34219.396,29865.6665,47.71
2021-01-03 12:00:00,3.9,71,2021-01,7568.34225,33719.03375,29464.277000000002,40.41
2021-01-03 13:00:00,3.9,58,2021-01,7582.60875,33059.123,29422.19625,39.66
2021-01-03 14:00:00,3.8,38,2021-01,7581.23375,33206.204,28497.206749999998,39.57
2021-01-03 15:00:00,3.8,12,2021-01,7581.121,33723.929000000004,28715.81725,36.11
2021-01-03 16:00:00,3.7,0,2021-01,7590.67475,34539.34575,28646.027000000002,45.04
2021-01-03 17:00:00,3.7,0,2021-01,7589.07675,34850.598750000005,28396.6765,52.56
2021-01-03 18:00:00,3.7,0,2021-01,7591.21425,34984.14925,27830.275250000002,45.84
2021-01-03 19:00:00,3.7,0,2021-01,7586.2865,34537.4455,27385.04075,35.83
2021-01-03 20:00:00,3.6,0,2021-01,7584.719,33479.363249999995,26359.2205,33.31
2021-01-03 21:00:00,3.6,0,2021-01,7587.211499999999,33176.014500000005,25245.32275,34.98
2021-01-03 22:00:00,3.5,0,2021-01,7588.01175,32235.36325,24764.682,27.39
